lot_id,wafer,site,cd_nm
L0017,13,4,44.732
L0017,13,5,44.455
L0017,25,1,44.586
L0017,25,2,44.56
L0017,25,3,44.46
L0017,25,4,44.697
L0017,25,5,44.722
L0018,1,1,44.694
L0018,1,2,44.859
L0018,1,3,44.959
L0018,1,4,45.24
L0018,1,5,45.204
L0018,13,1,45.042
L0018,13,2,44.634
L0018,13,3,44.965
L0018,13,4,45.24
L0018,13,5,44.835
L0018,25,1,45.061
L0018,25,2,44.823
L0018,25,3,44.525
L0018,25,4,45.282
L0018,25,5,45.026
L0019,1,1,45.286
L0019,1,2,45.549
L0019,1,3,45.429
L0019,1,4,45.203
L0019,1,5,45.156
L0019,13,1,45.347
L0019,13,2,45.201
L0019,13,3,44.908
L0019,13,4,45.183
L0019,13,5,45.505
L0019,25,1,45.06
L0019,25,2,45.341
L0019,25,3,45.058
L0019,25,4,45.157
L0019,25,5,45.587
L0020,1,1,45.07
L0020,1,2,44.909
L0020,1,3,44.802
L0020,1,4,44.929
L0020,1,5,44.78
L0020,13,1,44.961
L0020,13,2,44.427
L0020,13,3,44.672
L0020,13,4,44.916
L0020,13,5,45.034
L0020,25,1,44.965
L0020,25,2,44.799
L0020,25,3,44.694
L0020,25,4,45.023
L0020,25,5,45.183
L0021,1,1,44.644
L0021,1,2,44.669
L0021,1,3,44.667
L0021,1,4,44.753
L0021,1,5,44.892
L0021,13,1,44.827
L0021,13,2,44.506
L0021,13,3,44.712
L0021,13,4,44.786
L0021,13,5,44.867
L0021,25,1,44.641
L0021,25,2,44.765
L0021,25,3,44.675
L0021,25,4,44.88
L0021,25,5,45.179
L0022,1,1,45.69
L0022,1,2,45.635
L0022,1,3,45.789
L0022,1,4,45.813
L0022,1,5,45.721
L0022,13,1,45.806
L0022,13,2,45.684
L0022,13,3,45.73
L0022,13,4,45.835
L0022,13,5,45.797
L0022,25,1,45.555
L0022,25,2,45.496
L0022,25,3,45.875
L0022,25,4,45.873
L0022,25,5,45.597
L0023,1,1,44.417
L0023,1,2,44.636
L0023,1,3,45.027
L0023,1,4,44.865
L0023,1,5,44.696
L0023,13,1,44.582
L0023,13,2,44.619
L0023,13,3,44.476
L0023,13,4,44.871
L0023,13,5,44.586
L0023,25,1,44.789
L0023,25,2,44.7
L0023,25,3,44.46
L0023,25,4,44.786
L0023,25,5,44.88
L0024,1,1,44.758
L0024,1,2,44.56
L0024,1,3,45.001
L0024,1,4,44.707
L0024,1,5,45.004
L0024,13,1,44.903
L0024,13,2,44.859
L0024,13,3,44.794
L0024,13,4,45.092
L0024,13,5,45.03
L0024,25,1,44.722
L0024,25,2,45.09
L0024,25,3,45.034
L0024,25,4,44.829
L0024,25,5,45.007
L0025,1,1,45.316
L0025,1,2,45.066
L0025,1,3,45.224
L0025,1,4,45.435
L0025,1,5,45.472
L0025,13,1,45.241
L0025,13,2,45.451
L0025,13,3,45.307
L0025,13,4,45.497
L0025,13,5,45.591
L0025,25,1,45.208
L0025,25,2,44.981
L0025,25,3,45.483
L0025,25,4,45.289
L0025,25,5,45.058
L0026,1,1,45.282
L0026,1,2,45.038
L0026,1,3,45.051
L0026,1,4,45.618
L0026,1,5,45.25
L0026,13,1,44.821
L0026,13,2,44.994
L0026,13,3,45.079
L0026,13,4,44.912
L0026,13,5,45.341
L0026,25,1,44.983
L0026,25,2,44.739
L0026,25,3,44.963
L0026,25,4,45.099
L0026,25,5,45.277
L0027,1,1,44.901
L0027,1,2,44.972
L0027,1,3,44.666
L0027,1,4,45.024
L0027,1,5,45.153
L0027,13,1,44.879
L0027,13,2,44.719
L0027,13,3,44.82
L0027,13,4,45.171
L0027,13,5,45.21
L0027,25,1,44.856
L0027,25,2,45.033
L0027,25,3,44.964
L0027,25,4,44.98
L0027,25,5,45.477
L0028,1,1,44.616
L0028,1,2,44.903
L0028,1,3,45.106
L0028,1,4,44.636
L0028,1,5,45.058
L0028,13,1,44.907
L0028,13,2,44.64
L0028,13,3,44.856
L0028,13,4,45.162
L0028,13,5,45.258
L0028,25,1,44.724
L0028,25,2,44.808
L0028,25,3,45.046
L0028,25,4,45.02
L0028,25,5,44.878
L0029,1,1,44.373
L0029,1,2,44.145
L0029,1,3,44.257
L0029,1,4,44.132
L0029,1,5,44.102
L0029,13,1,44.265
L0029,13,2,44.102
L0029,13,3,44.09
L0029,13,4,44.911
L0029,13,5,43.965
L0029,25,1,44.365
L0029,25,2,44.496
L0029,25,3,44.255
L0029,25,4,44.317
L0029,25,5,44.31
L0030,1,1,45.612
L0030,1,2,45.539
L0030,1,3,45.421
L0030,1,4,45.613
L0030,1,5,45.292
L0030,13,1,45.371
L0030,13,2,45.418
L0030,13,3,44.99
L0030,13,4,45.265
L0030,13,5,45.389
L0030,25,1,45.431
L0030,25,2,45.562
L0030,25,3,45.45
L0030,25,4,45.693
L0030,25,5,45.491
L0031,1,1,45.281
L0031,1,2,45.145
L0031,1,3,45.034
L0031,1,4,45.18
L0031,1,5,45.27
L0031,13,1,45.639
L0031,13,2,45.234
L0031,13,3,45.145
L0031,13,4,45.31
L0031,13,5,45.406
L0031,25,1,45.198
L0031,25,2,45.288
L0031,25,3,45.021
L0031,25,4,45.327
L0031,25,5,45.178
L0032,1,1,46.278
L0032,1,2,46.098
L0032,1,3,45.753
L0032,1,4,46.044
L0032,1,5,45.868
L0032,13,1,45.933
L0032,13,2,45.916
L0032,13,3,45.893
L0032,13,4,46.376
L0032,13,5,46.574
L0032,25,1,46.138
L0032,25,2,45.839
L0032,25,3,45.938
L0032,25,4,46.439
L0032,25,5,46.07
L0033,1,1,45.218
L0033,1,2,45.346
L0033,1,3,45.212
L0033,1,4,45.543
L0033,1,5,45.763
L0033,13,1,45.318
L0033,13,2,45.244
L0033,13,3,45.187
L0033,13,4,45.673
L0033,13,5,45.408
L0033,25,1,45.284
L0033,25,2,45.249
L0033,25,3,45.386
L0033,25,4,45.663
L0033,25,5,45.317
L0034,1,1,44.684
L0034,1,2,44.654
L0034,1,3,44.776
L0034,1,4,44.948
L0034,1,5,44.524
L0034,13,1,44.666
L0034,13,2,44.603
L0034,13,3,44.838
L0034,13,4,44.732
L0034,13,5,44.653
L0034,25,1,44.684
L0034,25,2,44.565
L0034,25,3,44.704
L0034,25,4,45.121
L0034,25,5,44.807
L0035,1,1,44.595
L0035,1,2,44.505
L0035,1,3,44.541
L0035,1,4,44.689
L0035,1,5,44.782
L0035,13,1,44.481
L0035,13,2,45.144
L0035,13,3,44.711
L0035,13,4,44.687
L0035,13,5,44.648
L0035,25,1,44.675
L0035,25,2,44.438
L0035,25,3,44.477
L0035,25,4,44.79
L0035,25,5,44.717
L0036,1,1,44.935
L0036,1,2,44.983
L0036,1,3,44.907
L0036,1,4,45.099
L0036,1,5,45.101
L0036,13,1,44.961
L0036,13,2,44.798
L0036,13,3,44.658
L0036,13,4,44.917
L0036,13,5,45.017
L0036,25,1,44.946
L0036,25,2,44.84
L0036,25,3,44.779
L0036,25,4,44.946
L0036,25,5,45.136
L0037,1,1,45.694
L0037,1,2,45.687
L0037,1,3,45.88
L0037,1,4,45.829
L0037,1,5,45.82
L0037,13,1,45.717
L0037,13,2,45.502
L0037,13,3,45.324
L0037,13,4,45.654
L0037,13,5,45.749
L0037,25,1,45.638
L0037,25,2,46.048
L0037,25,3,45.417
L0037,25,4,45.727
L0037,25,5,45.753
L0038,1,1,45.025
L0038,1,2,45.313
L0038,1,3,45.215
L0038,1,4,45.388
L0038,1,5,45.151
L0038,13,1,44.734
L0038,13,2,45.128
L0038,13,3,45.166
L0038,13,4,45.303
L0038,13,5,45.159
L0038,25,1,44.694
L0038,25,2,44.899
L0038,25,3,44.59
L0038,25,4,44.828
L0038,25,5,45.252
L0039,1,1,45.455
L0039,1,2,45.116
L0039,1,3,45.268
L0039,1,4,45.831
L0039,1,5,45.371
L0039,13,1,45.319
L0039,13,2,45.464
L0039,13,3,45.321
L0039,13,4,46.057
L0039,13,5,45.342
L0039,25,1,45.054
L0039,25,2,45.478
L0039,25,3,45.3
L0039,25,4,45.492
L0039,25,5,45.56
L0040,1,1,45.308
L0040,1,2,45.16
L0040,1,3,44.925
L0040,1,4,45.188
L0040,1,5,45.357
L0040,13,1,44.994
L0040,13,2,45.103
L0040,13,3,45.098
L0040,13,4,45.362
L0040,13,5,45.428
L0040,25,1,45.455
L0040,25,2,45.148
L0040,25,3,44.931
L0040,25,4,45.337
L0040,25,5,45.185
L0041,1,1,44.951
L0041,1,2,44.801
L0041,1,3,44.824
L0041,1,4,45.056
L0041,1,5,45.283
L0041,13,1,45.07
L0041,13,2,44.905
L0041,13,3,45.114
L0041,13,4,44.931
L0041,13,5,45.261
L0041,25,1,44.972
L0041,25,2,44.921
L0041,25,3,45.26
L0041,25,4,44.667
L0041,25,5,45.417
L0042,1,1,44.404
L0042,1,2,44.631
L0042,1,3,44.811
L0042,1,4,44.687
L0042,1,5,44.948
L0042,13,1,44.379
L0042,13,2,44.485
L0042,13,3,44.183
L0042,13,4,44.826
L0042,13,5,44.768
L0042,25,1,44.706
L0042,25,2,44.658
L0042,25,3,44.558
L0042,25,4,44.591
L0042,25,5,44.756
L0043,1,1,45.329
L0043,1,2,45.14
L0043,1,3,45.305
L0043,1,4,45.696
L0043,1,5,45.366
L0043,13,1,45.607
L0043,13,2,45.296
L0043,13,3,45.672
L0043,13,4,45.494
L0043,13,5,45.878
L0043,25,1,45.24
L0043,25,2,45.387
L0043,25,3,45.269
L0043,25,4,45.313
L0043,25,5,45.783
L0044,1,1,44.403
L0044,1,2,43.916
L0044,1,3,43.973
L0044,1,4,44.019
L0044,1,5,44.273
L0044,13,1,43.967
L0044,13,2,43.778
L0044,13,3,43.849
L0044,13,4,44.142
L0044,13,5,44.519
L0044,25,1,44.275
L0044,25,2,44.2
L0044,25,3,43.842
L0044,25,4,44.225
L0044,25,5,44.177
L0045,1,1,44.962
L0045,1,2,44.603
L0045,1,3,44.553
L0045,1,4,45.153
L0045,1,5,45.141
L0045,13,1,44.783
L0045,13,2,44.922
L0045,13,3,44.826
L0045,13,4,44.761
L0045,13,5,44.796
L0045,25,1,45.023
L0045,25,2,45.272
L0045,25,3,45.302
L0045,25,4,44.691
L0045,25,5,44.955
L0046,1,1,44.903
L0046,1,2,44.822
L0046,1,3,44.688
L0046,1,4,45.117
L0046,1,5,44.884
L0046,13,1,44.83
L0046,13,2,44.681
L0046,13,3,44.556
L0046,13,4,44.966
L0046,13,5,44.688
L0046,25,1,45.087
L0046,25,2,44.624
L0046,25,3,44.443
L0046,25,4,44.622
L0046,25,5,44.797
L0047,1,1,44.719
L0047,1,2,44.395
L0047,1,3,44.179
L0047,1,4,45.003
L0047,1,5,45.002
L0047,13,1,45.058
L0047,13,2,44.456
L0047,13,3,44.322
L0047,13,4,44.927
L0047,13,5,44.905
L0047,25,1,44.639
L0047,25,2,44.846
L0047,25,3,44.724
L0047,25,4,44.676
L0047,25,5,44.697
L0048,1,1,46.337
L0048,1,2,46.472
L0048,1,3,46.488
L0048,1,4,46.447
L0048,1,5,46.647
L0048,13,1,46.794
L0048,13,2,46.7
L0048,13,3,46.426
L0048,13,4,46.616
L0048,13,5,46.735
L0048,25,1,46.851
L0048,25,2,46.412
L0048,25,3,46.743
L0048,25,4,46.697
L0048,25,5,46.733
L0049,1,1,45.171
L0049,1,2,45.246
L0049,1,3,45.564
L0049,1,4,45.339
L0049,1,5,45.741
L0049,13,1,45.072
L0049,13,2,45.077
L0049,13,3,45.157
L0049,13,4,45.381
L0049,13,5,45.418
L0049,25,1,45.414
L0049,25,2,45.23
L0049,25,3,45.44
L0049,25,4,45.528
L0049,25,5,45.475
L0050,1,1,44.858
L0050,1,2,44.717
L0050,1,3,44.977
L0050,1,4,44.826
L0050,1,5,45.124
L0050,13,1,45.107
L0050,13,2,45.054
L0050,13,3,44.931
L0050,13,4,45.076
L0050,13,5,45.069
L0050,25,1,45.245
L0050,25,2,44.699
L0050,25,3,44.67
L0050,25,4,45.073
L0050,25,5,45.126
L0051,1,1,44.6
L0051,1,2,45.465
L0051,1,3,44.824
L0051,1,4,45.209
L0051,1,5,45.095
L0051,13,1,45.067
L0051,13,2,44.935
L0051,13,3,45.488
L0051,13,4,45.039
L0051,13,5,45.16
L0051,25,1,44.977
L0051,25,2,45.003
L0051,25,3,44.955
L0051,25,4,45.436
L0051,25,5,45.239
L0052,1,1,44.953
L0052,1,2,45.236
L0052,1,3,45.03
L0052,1,4,44.895
L0052,1,5,45.115
L0052,13,1,44.843
L0052,13,2,44.905
L0052,13,3,45.178
L0052,13,4,44.959
L0052,13,5,45.054
L0052,25,1,44.637
L0052,25,2,44.971
L0052,25,3,45.091
L0052,25,4,44.946
L0052,25,5,45.004
L0053,1,1,44.742
L0053,1,2,44.496
L0053,1,3,44.723
L0053,1,4,44.846
L0053,1,5,44.511
L0053,13,1,44.569
L0053,13,2,44.672
L0053,13,3,44.969
L0053,13,4,44.73
L0053,13,5,44.799
L0053,25,1,44.497
L0053,25,2,44.658
L0053,25,3,44.794
L0053,25,4,44.674
L0053,25,5,44.628
L0054,1,1,45.248
L0054,1,2,45.3
L0054,1,3,45.267
L0054,1,4,45.138
L0054,1,5,45.143
L0054,13,1,45.74
L0054,13,2,45.468
L0054,13,3,45.05
L0054,13,4,45.109
L0054,13,5,45.353
L0054,25,1,44.993
L0054,25,2,45.309
L0054,25,3,44.982
L0054,25,4,45.168
L0054,25,5,44.93
L0055,1,1,45.583
L0055,1,2,45.156
L0055,1,3,45.422
L0055,1,4,45.486
L0055,1,5,45.704
L0055,13,1,45.118
L0055,13,2,45.275
L0055,13,3,45.429
L0055,13,4,45.636
L0055,13,5,45.493
L0055,25,1,45.377
L0055,25,2,44.803
L0055,25,3,45.184
L0055,25,4,45.156
L0055,25,5,45.529
L0056,1,1,45.687
L0056,1,2,45.257
L0056,1,3,45.421
L0056,1,4,45.468
L0056,1,5,45.575
L0056,13,1,45.303
L0056,13,2,45.187
L0056,13,3,45.545
L0056,13,4,45.302
L0056,13,5,45.597
L0056,25,1,45.707
L0056,25,2,45.642
L0056,25,3,45.475
L0056,25,4,45.715
L0056,25,5,45.935
L0057,1,1,44.962
L0057,1,2,45.032
L0057,1,3,44.574
L0057,1,4,45.148
L0057,1,5,45.211
L0057,13,1,44.924
L0057,13,2,44.777
L0057,13,3,44.74
L0057,13,4,45.202
L0057,13,5,45.056
L0057,25,1,45.03
L0057,25,2,44.567
L0057,25,3,45.126
L0057,25,4,44.664
L0057,25,5,45.161
L0058,1,1,46.637
L0058,1,2,46.705
L0058,1,3,46.911
L0058,1,4,46.815
L0058,1,5,47.168
L0058,13,1,46.707
L0058,13,2,46.631
L0058,13,3,46.997
L0058,13,4,47.111
L0058,13,5,46.821
L0058,25,1,47.043
L0058,25,2,46.703
L0058,25,3,46.695
L0058,25,4,47.056
L0058,25,5,46.72
L0059,1,1,44.92
L0059,1,2,44.819
L0059,1,3,45.029
L0059,1,4,44.951
L0059,1,5,44.947
L0059,13,1,44.659
L0059,13,2,44.76
L0059,13,3,44.423
L0059,13,4,44.75
L0059,13,5,44.87
L0059,25,1,44.722
L0059,25,2,44.99
L0059,25,3,44.792
L0059,25,4,44.924
L0059,25,5,44.921
L0060,1,1,47.285
L0060,1,2,47.184
L0060,1,3,47.199
L0060,1,4,47.309
L0060,1,5,47.24
L0060,13,1,47.585
L0060,13,2,47.204
L0060,13,3,47.181
L0060,13,4,47.059
L0060,13,5,47.393
L0060,25,1,47.214
L0060,25,2,47.207
L0060,25,3,47.151
L0060,25,4,47.331
L0060,25,5,47.212
