lot_id,step,tool,chamber,date
L0050,CMP,CMP-01,,2026-07-25
L0050,METRO,MET-01,,2026-07-25
L0051,LITHO,LITH-02,,2026-07-26
L0051,ETCH,ETCH-02,A,2026-07-26
L0051,CMP,CMP-02,,2026-07-26
L0051,METRO,MET-01,,2026-07-26
L0052,LITHO,LITH-03,,2026-07-26
L0052,ETCH,ETCH-01,C,2026-07-26
L0052,CMP,CMP-01,,2026-07-26
L0052,METRO,MET-02,,2026-07-26
L0053,LITHO,LITH-03,,2026-07-27
L0053,ETCH,ETCH-02,A,2026-07-27
L0053,CMP,CMP-01,,2026-07-27
L0053,METRO,MET-01,,2026-07-27
L0054,LITHO,LITH-02,,2026-07-27
L0054,ETCH,ETCH-01,A,2026-07-27
L0054,CMP,CMP-02,,2026-07-27
L0054,METRO,MET-02,,2026-07-27
L0055,LITHO,LITH-02,,2026-07-28
L0055,ETCH,ETCH-01,B,2026-07-28
L0055,CMP,CMP-02,,2026-07-28
L0055,METRO,MET-02,,2026-07-28
L0056,LITHO,LITH-03,,2026-07-28
L0056,ETCH,ETCH-01,A,2026-07-28
L0056,CMP,CMP-01,,2026-07-28
L0056,METRO,MET-01,,2026-07-28
L0057,LITHO,LITH-01,,2026-07-29
L0057,ETCH,ETCH-02,A,2026-07-29
L0057,CMP,CMP-02,,2026-07-29
L0057,METRO,MET-02,,2026-07-29
L0058,LITHO,LITH-02,,2026-07-29
L0058,ETCH,ETCH-02,C,2026-07-29
L0058,CMP,CMP-02,,2026-07-29
L0058,METRO,MET-02,,2026-07-29
L0059,LITHO,LITH-03,,2026-07-30
L0059,ETCH,ETCH-01,B,2026-07-30
L0059,CMP,CMP-02,,2026-07-30
L0059,METRO,MET-02,,2026-07-30
L0060,LITHO,LITH-02,,2026-07-30
L0060,ETCH,ETCH-02,C,2026-07-30
L0060,CMP,CMP-02,,2026-07-30
L0060,METRO,MET-02,,2026-07-30
